what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1293911282484
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1293911282484
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293911282484
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1293911282484
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1293911282484
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293911282484
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293911282484
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1293911282484
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1293911282484
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1293911282500
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1293911282500
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1293911282500
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1293911282500
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1293911282500
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1293911282500
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1293911282500
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1293911282500
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1293911282500
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1293911282500
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1293911282515
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1293911282515
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1293911282515
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1293911282515
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1293911282515
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1293911282515
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1293911282515
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1293911282515
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1293911282515
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1293911282531
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1293911282531
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1293911282531
os,sysinfo,,,"win32",1293911282531
arch,sysinfo,,,"x86",1293911282531
ws,sysinfo,,,"win32",1293911282531
locale,sysinfo,,,"zh_CN",1293911282531
processors,sysinfo,,,"2",1293911282531
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293911282531
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1293911282531
java.specification.name,sysinfo,,,"Java Platform API Specification",1293911282531
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911282531
java.specification.version,sysinfo,,,"1.6",1293911282531
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911282531
java.version,sysinfo,,,"1.6.0_21",1293911282531
java.vm.info,sysinfo,,,"mixed mode",1293911282531
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293911282531
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293911282531
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911282531
java.vm.specification.version,sysinfo,,,"1.0",1293911282531
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911282531
java.vm.version,sysinfo,,,"17.0-b17",1293911282531
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1293911284953
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1293911284968
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1293911285000
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1293911285015
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1293911285062
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1293911285062
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1293911285078
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1293911285078
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293911285156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911286937
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1293911293703
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1293911293718
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1293911293718
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1293911293734
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1293911293750
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1293911293750
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1293911293765
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1293911293781
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1293911293796
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1293911293812
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1293911294078
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1293911294203
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1293911294515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911294796
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1293911294812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1293911294812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911297796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911338000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911338609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911374937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911377171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911377171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911377250
